"wordrep"	"letters"	"word_accuracy"	"iksis"	"responses"	"suppression"	"subject"
"213"	"fully"	"f"	1	400	"f"	"Normal"	"p10crandom.txt"
"214"	"fully"	"u"	1	176	"u"	"Normal"	"p10crandom.txt"
"215"	"fully"	"l"	1	200	"l"	"Normal"	"p10crandom.txt"
"216"	"fully"	"l"	1	152	"l"	"Normal"	"p10crandom.txt"
"217"	"fully"	"y"	1	119	"y"	"Normal"	"p10crandom.txt"
"218"	"or"	"o"	1	1568	"o"	"Normal"	"p10crandom.txt"
"219"	"or"	"r"	1	425	"r"	"Normal"	"p10crandom.txt"
"220"	"partyl"	"p"	0	160	"p"	"Normal"	"p10crandom.txt"
"221"	"partyl"	"a"	0	128	"a"	"Normal"	"p10crandom.txt"
"222"	"partyl"	"r"	0	552	"r"	"Normal"	"p10crandom.txt"
"223"	"partyl"	"t"	0	200	"t"	"Normal"	"p10crandom.txt"
"224"	"partyl"	"y"	0	249	"y"	"Normal"	"p10crandom.txt"
"225"	"partyl"	"l"	0	207	"l"	"Normal"	"p10crandom.txt"
"226"	"trained"	"t"	1	864	"t"	"Normal"	"p10crandom.txt"
"227"	"trained"	"r"	1	56	"r"	"Normal"	"p10crandom.txt"
"228"	"trained"	"a"	1	216	"a"	"Normal"	"p10crandom.txt"
"229"	"trained"	"i"	1	136	"i"	"Normal"	"p10crandom.txt"
"230"	"trained"	"n"	1	176	"n"	"Normal"	"p10crandom.txt"
"231"	"trained"	"e"	1	89	"e"	"Normal"	"p10crandom.txt"
"232"	"trained"	"d"	1	199	"d"	"Normal"	"p10crandom.txt"
"233"	"dog,"	"d"	1	600	"d"	"Normal"	"p10crandom.txt"
"234"	"dog,"	"o"	1	424	"o"	"Normal"	"p10crandom.txt"
"235"	"dog,"	"g"	1	80	"g"	"Normal"	"p10crandom.txt"
"236"	"dog,"	","	1	888	","	"Normal"	"p10crandom.txt"
"237"	"as"	"a"	1	184	"a"	"Normal"	"p10crandom.txt"
"238"	"as"	"s"	1	96	"s"	"Normal"	"p10crandom.txt"
"239"	"some"	"s"	1	80	"s"	"Normal"	"p10crandom.txt"
"240"	"some"	"o"	1	96	"o"	"Normal"	"p10crandom.txt"
"241"	"some"	"m"	1	200	"m"	"Normal"	"p10crandom.txt"
"242"	"some"	"e"	1	88	"e"	"Normal"	"p10crandom.txt"
"243"	"gave"	"g"	0	152	"g"	"Normal"	"p10crandom.txt"
"244"	"gave"	"a"	0	104	"a"	"Normal"	"p10crandom.txt"
"245"	"gave"	"v"	0	112	"v"	"Normal"	"p10crandom.txt"
"246"	"gave"	"e"	0	72	"e"	"Normal"	"p10crandom.txt"
"247"	"neither"	"n"	1	192	"n"	"Normal"	"p10crandom.txt"
"248"	"neither"	"e"	1	80	"e"	"Normal"	"p10crandom.txt"
"249"	"neither"	"i"	1	336	"i"	"Normal"	"p10crandom.txt"
"250"	"neither"	"t"	1	96	"t"	"Normal"	"p10crandom.txt"
"251"	"neither"	"h"	1	112	"h"	"Normal"	"p10crandom.txt"
"252"	"neither"	"e"	1	80	"e"	"Normal"	"p10crandom.txt"
"253"	"neither"	"r"	1	113	"r"	"Normal"	"p10crandom.txt"
"254"	"the"	"t"	1	72	"t"	"Normal"	"p10crandom.txt"
"255"	"the"	"h"	1	72	"h"	"Normal"	"p10crandom.txt"
"256"	"the"	"e"	1	96	"e"	"Normal"	"p10crandom.txt"
"257"	"time"	"t"	1	216	"t"	"Normal"	"p10crandom.txt"
"258"	"time"	"i"	1	160	"i"	"Normal"	"p10crandom.txt"
"259"	"time"	"m"	1	193	"m"	"Normal"	"p10crandom.txt"
"260"	"time"	"e"	1	95	"e"	"Normal"	"p10crandom.txt"
"261"	"nor"	"n"	1	152	"n"	"Normal"	"p10crandom.txt"
"262"	"nor"	"o"	1	152	"o"	"Normal"	"p10crandom.txt"
"263"	"nor"	"r"	1	160	"r"	"Normal"	"p10crandom.txt"
"264"	"the"	"t"	1	88	"t"	"Normal"	"p10crandom.txt"
"265"	"the"	"h"	1	89	"h"	"Normal"	"p10crandom.txt"
"266"	"the"	"e"	1	87	"e"	"Normal"	"p10crandom.txt"
"267"	"ability"	"a"	1	176	"a"	"Normal"	"p10crandom.txt"
"268"	"ability"	"b"	1	104	"b"	"Normal"	"p10crandom.txt"
"269"	"ability"	"i"	1	176	"i"	"Normal"	"p10crandom.txt"
"270"	"ability"	"l"	1	208	"l"	"Normal"	"p10crandom.txt"
"271"	"ability"	"i"	1	153	"i"	"Normal"	"p10crandom.txt"
"272"	"ability"	"t"	1	111	"t"	"Normal"	"p10crandom.txt"
"273"	"ability"	"y"	1	216	"y"	"Normal"	"p10crandom.txt"
"274"	"to"	"t"	1	216	"t"	"Normal"	"p10crandom.txt"
"275"	"to"	"o"	1	168	"o"	"Normal"	"p10crandom.txt"
"276"	"train"	"t"	1	168	"t"	"Normal"	"p10crandom.txt"
"277"	"train"	"r"	1	128	"r"	"Normal"	"p10crandom.txt"
"278"	"train"	"a"	1	288	"a"	"Normal"	"p10crandom.txt"
"279"	"train"	"i"	1	144	"i"	"Normal"	"p10crandom.txt"
"280"	"train"	"n"	1	192	"n"	"Normal"	"p10crandom.txt"
"281"	"the"	"t"	1	112	"t"	"Normal"	"p10crandom.txt"
"282"	"the"	"h"	1	120	"h"	"Normal"	"p10crandom.txt"
"283"	"the"	"e"	1	72	"e"	"Normal"	"p10crandom.txt"
"284"	"dogs"	"d"	1	928	"d"	"Normal"	"p10crandom.txt"
"285"	"dogs"	"o"	1	160	"o"	"Normal"	"p10crandom.txt"
"286"	"dogs"	"g"	1	96	"g"	"Normal"	"p10crandom.txt"
"287"	"dogs"	"s"	1	784	"s"	"Normal"	"p10crandom.txt"
"288"	"themseleves."	"t"	0	112	"t"	"Normal"	"p10crandom.txt"
"289"	"themseleves."	"h"	0	112	"h"	"Normal"	"p10crandom.txt"
"290"	"themseleves."	"e"	0	113	"e"	"Normal"	"p10crandom.txt"
"291"	"themseleves."	"m"	0	143	"m"	"Normal"	"p10crandom.txt"
"292"	"themseleves."	"s"	0	264	"s"	"Normal"	"p10crandom.txt"
"293"	"themseleves."	"e"	0	176	"e"	"Normal"	"p10crandom.txt"
"294"	"themseleves."	"l"	0	152	"l"	"Normal"	"p10crandom.txt"
"295"	"themseleves."	"e"	0	392	"e"	"Normal"	"p10crandom.txt"
"296"	"themseleves."	"v"	0	1336	"v"	"Normal"	"p10crandom.txt"
"297"	"themseleves."	"e"	0	64	"e"	"Normal"	"p10crandom.txt"
"298"	"themseleves."	"s"	0	200	"s"	"Normal"	"p10crandom.txt"
"299"	"themseleves."	"."	0	784	"."	"Normal"	"p10crandom.txt"
"300"	"It"	"I"	1	368	"I"	"Normal"	"p10crandom.txt"
"301"	"It"	"t"	1	128	"t"	"Normal"	"p10crandom.txt"
"302"	"talso"	"t"	0	95	"t"	"Normal"	"p10crandom.txt"
"303"	"talso"	"a"	0	224	"a"	"Normal"	"p10crandom.txt"
"304"	"talso"	"l"	0	152	"l"	"Normal"	"p10crandom.txt"
"305"	"talso"	"s"	0	80	"s"	"Normal"	"p10crandom.txt"
"306"	"talso"	"o"	0	112	"o"	"Normal"	"p10crandom.txt"
"307"	"means"	"m"	1	185	"m"	"Normal"	"p10crandom.txt"
"308"	"means"	"e"	1	55	"e"	"Normal"	"p10crandom.txt"
"309"	"means"	"a"	1	248	"a"	"Normal"	"p10crandom.txt"
"310"	"means"	"n"	1	128	"n"	"Normal"	"p10crandom.txt"
"311"	"means"	"s"	1	400	"s"	"Normal"	"p10crandom.txt"
"312"	"that"	"t"	1	119	"t"	"Normal"	"p10crandom.txt"
"313"	"that"	"h"	1	144	"h"	"Normal"	"p10crandom.txt"
"314"	"that"	"a"	1	160	"a"	"Normal"	"p10crandom.txt"
"315"	"that"	"t"	1	120	"t"	"Normal"	"p10crandom.txt"
