"wordrep"	"letters"	"word_accuracy"	"best_match"	"str_distance"	"correct_word_length"	"proportion_letter_correct"	"iksis"	"responses"	"suppression"	"subject"
"168"	"they"	"t"	1	"they"	0	4	1	104	"t"	"Normal"	"p10crandom.txt"
"169"	"they"	"h"	1	"they"	0	4	1	65	"h"	"Normal"	"p10crandom.txt"
"170"	"they"	"e"	1	"they"	0	4	1	151	"e"	"Normal"	"p10crandom.txt"
"171"	"they"	"y"	1	"they"	0	4	1	728	"y"	"Normal"	"p10crandom.txt"
"172"	"are"	"a"	1	"are"	0	3	1	208	"a"	"Normal"	"p10crandom.txt"
"173"	"are"	"r"	1	"are"	0	3	1	256	"r"	"Normal"	"p10crandom.txt"
"174"	"are"	"e"	1	"are"	0	3	1	64	"e"	"Normal"	"p10crandom.txt"
"175"	"trained."	"t"	1	"trained."	0	8	1	72	"t"	"Normal"	"p10crandom.txt"
"176"	"trained."	"r"	1	"trained."	0	8	1	192	"r"	"Normal"	"p10crandom.txt"
"177"	"trained."	"a"	1	"trained."	0	8	1	249	"a"	"Normal"	"p10crandom.txt"
"178"	"trained."	"i"	1	"trained."	0	8	1	167	"i"	"Normal"	"p10crandom.txt"
"179"	"trained."	"n"	1	"trained."	0	8	1	160	"n"	"Normal"	"p10crandom.txt"
"180"	"trained."	"e"	1	"trained."	0	8	1	1496	"e"	"Normal"	"p10crandom.txt"
"181"	"trained."	"d"	1	"trained."	0	8	1	192	"d"	"Normal"	"p10crandom.txt"
"182"	"trained."	"."	1	"trained."	0	8	1	200	"."	"Normal"	"p10crandom.txt"
"183"	"I"	"I"	0	"It"	1	2	0.5	559	"I"	"Normal"	"p10crandom.txt"
"184"	"t"	"t"	0	"to"	1	2	0.5	784	"t"	"Normal"	"p10crandom.txt"
"185"	"is"	"i"	1	"is"	0	2	1	92	"i"	"Normal"	"p10crandom.txt"
"186"	"is"	"s"	1	"is"	0	2	1	120	"s"	"Normal"	"p10crandom.txt"
"187"	"not"	"n"	1	"not"	0	3	1	168	"n"	"Normal"	"p10crandom.txt"
"188"	"not"	"o"	1	"not"	0	3	1	176	"o"	"Normal"	"p10crandom.txt"
"189"	"not"	"t"	1	"not"	0	3	1	128	"t"	"Normal"	"p10crandom.txt"
"190"	"unusual"	"u"	1	"unusual"	0	7	1	889	"u"	"Normal"	"p10crandom.txt"
"191"	"unusual"	"n"	1	"unusual"	0	7	1	215	"n"	"Normal"	"p10crandom.txt"
"192"	"unusual"	"u"	1	"unusual"	0	7	1	160	"u"	"Normal"	"p10crandom.txt"
"193"	"unusual"	"s"	1	"unusual"	0	7	1	200	"s"	"Normal"	"p10crandom.txt"
"194"	"unusual"	"u"	1	"unusual"	0	7	1	192	"u"	"Normal"	"p10crandom.txt"
"195"	"unusual"	"a"	1	"unusual"	0	7	1	184	"a"	"Normal"	"p10crandom.txt"
"196"	"unusual"	"l"	1	"unusual"	0	7	1	488	"l"	"Normal"	"p10crandom.txt"
"197"	"for"	"f"	1	"for"	0	3	1	528	"f"	"Normal"	"p10crandom.txt"
"198"	"for"	"o"	1	"for"	0	3	1	152	"o"	"Normal"	"p10crandom.txt"
"199"	"for"	"r"	1	"for"	0	3	1	64	"r"	"Normal"	"p10crandom.txt"
"200"	"farmers"	"f"	1	"farmers"	0	7	1	393	"f"	"Normal"	"p10crandom.txt"
"201"	"farmers"	"a"	1	"farmers"	0	7	1	103	"a"	"Normal"	"p10crandom.txt"
"202"	"farmers"	"r"	1	"farmers"	0	7	1	520	"r"	"Normal"	"p10crandom.txt"
"203"	"farmers"	"m"	1	"farmers"	0	7	1	144	"m"	"Normal"	"p10crandom.txt"
"204"	"farmers"	"e"	1	"farmers"	0	7	1	856	"e"	"Normal"	"p10crandom.txt"
"205"	"farmers"	"r"	1	"farmers"	0	7	1	56	"r"	"Normal"	"p10crandom.txt"
"206"	"farmers"	"s"	1	"farmers"	0	7	1	224	"s"	"Normal"	"p10crandom.txt"
"207"	"to"	"t"	1	"to"	0	2	1	64	"t"	"Normal"	"p10crandom.txt"
"208"	"to"	"o"	1	"to"	0	2	1	160	"o"	"Normal"	"p10crandom.txt"
"209"	"buy"	"b"	1	"buy"	0	3	1	433	"b"	"Normal"	"p10crandom.txt"
"210"	"buy"	"u"	1	"buy"	0	3	1	191	"u"	"Normal"	"p10crandom.txt"
"211"	"buy"	"y"	1	"buy"	0	3	1	64	"y"	"Normal"	"p10crandom.txt"
"212"	"a"	"a"	1	"a"	0	1	1	536	"a"	"Normal"	"p10crandom.txt"
"213"	"fully"	"f"	1	"fully"	0	5	1	400	"f"	"Normal"	"p10crandom.txt"
"214"	"fully"	"u"	1	"fully"	0	5	1	176	"u"	"Normal"	"p10crandom.txt"
"215"	"fully"	"l"	1	"fully"	0	5	1	200	"l"	"Normal"	"p10crandom.txt"
"216"	"fully"	"l"	1	"fully"	0	5	1	152	"l"	"Normal"	"p10crandom.txt"
"217"	"fully"	"y"	1	"fully"	0	5	1	119	"y"	"Normal"	"p10crandom.txt"
"218"	"or"	"o"	1	"or"	0	2	1	1568	"o"	"Normal"	"p10crandom.txt"
"219"	"or"	"r"	1	"or"	0	2	1	425	"r"	"Normal"	"p10crandom.txt"
"220"	"partyl"	"p"	0	"partly"	1	6	0.833333333333333	160	"p"	"Normal"	"p10crandom.txt"
"221"	"partyl"	"a"	0	"partly"	1	6	0.833333333333333	128	"a"	"Normal"	"p10crandom.txt"
"222"	"partyl"	"r"	0	"partly"	1	6	0.833333333333333	552	"r"	"Normal"	"p10crandom.txt"
