"iksis"	"letters"	"words"	"closest"	"accuracy"	"distance"	"propCorrect"	"suppression"	"subject"	"VoiceCondition"	"ChunkCondition"	"LetterPosition"	"LetterType"
"110"	240	"s"	"keenness"	"keenness"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	7	"Middle"
"111"	160	"s"	"keenness"	"keenness"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	8	"Middle"
"112"	592	" "	"to"	"to"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	0	"Space"
"113"	384	"t"	"to"	"to"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	1	"First"
"114"	144	"o"	"to"	"to"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	2	"Middle"
"115"	296	" "	"please"	"please"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	0	"Space"
"116"	272	"p"	"please"	"please"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	1	"First"
"117"	232	"l"	"please"	"please"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	2	"Middle"
"118"	216	"e"	"please"	"please"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	3	"Middle"
"119"	208	"a"	"please"	"please"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	4	"Middle"
"120"	168	"s"	"please"	"please"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	5	"Middle"
"121"	184	"e"	"please"	"please"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	6	"Middle"
"122"	592	" "	"have"	"have"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	0	"Space"
"123"	336	"h"	"have"	"have"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	1	"First"
"124"	144	"a"	"have"	"have"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	2	"Middle"
"125"	144	"v"	"have"	"have"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	3	"Middle"
"126"	160	"e"	"have"	"have"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	4	"Middle"
"127"	480	" "	"made"	"made"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	0	"Space"
"128"	392	"m"	"made"	"made"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	1	"First"
"129"	136	"a"	"made"	"made"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	2	"Middle"
"130"	224	"d"	"made"	"made"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	3	"Middle"
"131"	192	"e"	"made"	"made"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	4	"Middle"
"132"	688	" "	"them"	"them"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	0	"Space"
"133"	416	"t"	"them"	"them"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	1	"First"
"134"	152	"h"	"them"	"them"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	2	"Middle"
"135"	176	"e"	"them"	"them"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	3	"Middle"
"136"	160	"m"	"them"	"them"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	4	"Middle"
"137"	560	" "	"a"	"a"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	0	"Space"
"138"	344	"a"	"a"	"a"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	1	"First"
"139"	312	" "	"very"	"very"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	0	"Space"
"140"	328	"v"	"very"	"very"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	1	"First"
"141"	216	"e"	"very"	"very"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	2	"Middle"
"142"	200	"r"	"very"	"very"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	3	"Middle"
"143"	216	"y"	"very"	"very"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	4	"Middle"
"144"	608	" "	"suitable"	"suitable"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	0	"Space"
"145"	496	"s"	"suitable"	"suitable"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	1	"First"
"146"	224	"u"	"suitable"	"suitable"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	2	"Middle"
"147"	352	"i"	"suitable"	"suitable"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	3	"Middle"
"148"	2032	"t"	"suitable"	"suitable"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	4	"Middle"
